Code établissement;Appellation officielle;Dénomination principale;Patronyme uai;Secteur Public/Privé;Adresse;Lieu dit;Boite postale;Code postal;Localite d'acheminement;Commune;Coordonnee X;Coordonnee Y;EPSG;Latitude;Longitude;Qualité d'appariement;Localisation;Code nature;Nature;Code état établissement;Etat établissement;Code département;Code région;Code académie;Code commune;Département;Région;Académie;Position;secteur_prive_code_type_contrat;secteur_prive_libelle_type_contrat;code_ministere;libelle_ministere;date_ouverture
0440288Z;Lycée général et technologique Albert Camus;LYCEE GENERAL ET TECHNOLOGIQUE;ALBERT CAMUS;Public;11  RUE ETIENNE COUTAN;;;44107;NANTES CEDEX 4;Nantes;351230.1;6688450.1;EPSG:2154;47.20468895900564;-1.6099696774353849;Parfaite;Numéro de rue;300;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;1;OUVERT;044;52;17;44109;Loire-Atlantique;Pays de la Loire;Nantes;47.20468895900564, -1.6099696774353849;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1968-03-13
0440619J;Ecole élémentaire publique Marie-Anne du Boccage;ECOLE ELEMENTAIRE PUBLIQUE;MARIE-ANNE DU BOCCAGE;Public;22 bis rue Marie-Anne du Boccage;;;44000;NANTES;Nantes;354075.7;6688900.0;EPSG:2154;47.21022120616839;-1.572785482913078;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;044;52;17;44109;Loire-Atlantique;Pays de la Loire;Nantes;47.21022120616839, -1.572785482913078;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1970-01-07
0440627T;Ecole élémentaire publique Chêne d'Aron;ECOLE ELEMENTAIRE PUBLIQUE;CHENE D ARON;Public;3 rue de l'Heronnière;;;44000;NANTES;Nantes;354985.8;6689068.1;EPSG:2154;47.21220563790411;-1.560909821931182;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;044;52;17;44109;Loire-Atlantique;Pays de la Loire;Nantes;47.21220563790411, -1.560909821931182;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1970-01-22
0440628U;Ecole élémentaire publique Sully;ECOLE ELEMENTAIRE PUBLIQUE;SULLY;Public;5 rue Henri Cochard;;;44000;NANTES;Nantes;355919.4;6690243.2;EPSG:2154;47.22325170225945;-1.5494894649404933;Parfaite;Rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;044;52;17;44109;Loire-Atlantique;Pays de la Loire;Nantes;47.22325170225945, -1.5494894649404933;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1970-01-07
0440651U;Ecole élémentaire publique Ledru-Rollin;ECOLE ELEMENTAIRE PUBLIQUE;LEDRU-ROLLIN;Public;47 rue Ledru-Rollin;;;44200;NANTES;Nantes;356849.6;6686753.5;EPSG:2154;47.19236827395964;-1.5345704414084664;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;044;52;17;44109;Loire-Atlantique;Pays de la Loire;Nantes;47.19236827395964, -1.5345704414084664;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1970-01-07
0440652V;Ecole élémentaire publique Urbain le Verrier;ECOLE ELEMENTAIRE PUBLIQUE;URBAIN LE VERRIER;Public;11 rue Urbain Le Verrier;;;44300;NANTES;Nantes;358195.9;6692181.0;EPSG:2154;47.24184471271331;-1.5209205022192074;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;044;52;17;44109;Loire-Atlantique;Pays de la Loire;Nantes;47.24184471271331, -1.5209205022192074;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1970-01-07
0440654X;Ecole primaire publique Longchamp;ECOLE PRIMAIRE PUBLIQUE;LONGCHAMP;Public;6 rue du Vélodrome;;;44300;NANTES;Nantes;354265.3;6692045.9;EPSG:2154;47.23859402747202;-1.5726902803672882;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;044;52;17;44109;Loire-Atlantique;Pays de la Loire;Nantes;47.23859402747202, -1.5726902803672882;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1970-01-07
0440656Z;Ecole élémentaire publique André Lermite;ECOLE ELEMENTAIRE PUBLIQUE;ANDRE LERMITE;Public;5 rue Evariste Luminais;;;44100;NANTES;Nantes;354275.3;6689132.1;EPSG:2154;47.21241121248546;-1.5703302387758586;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;044;52;17;44109;Loire-Atlantique;Pays de la Loire;Nantes;47.21241121248546, -1.5703302387758586;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1970-01-07
0440658B;Ecole élémentaire publique Les Marsauderies;ECOLE ELEMENTAIRE PUBLIQUE;MARSAUDERIES (LES);Public;1 rue de la Bertiniere;;;44300;NANTES;Nantes;357533.6;6692324.7;EPSG:2154;47.24279474344717;-1.5297702346217672;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;044;52;17;44109;Loire-Atlantique;Pays de la Loire;Nantes;47.24279474344717, -1.5297702346217672;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1970-01-07
0440661E;Ecole élémentaire publique Léon Blum;ECOLE ELEMENTAIRE PUBLIQUE;LEON BLUM;Public;5 rue Léon Blum;;;44000;NANTES;Nantes;355422.9;6689796.6;EPSG:2154;47.21898021823771;-1.5556994103874435;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;044;52;17;44109;Loire-Atlantique;Pays de la Loire;Nantes;47.21898021823771, -1.5556994103874435;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1970-01-07
0440674U;Ecole élémentaire publique Port Boyer;ECOLE ELEMENTAIRE PUBLIQUE;PORT BOYER;Public;53 rue de l'Eraudière;;;44300;NANTES;Nantes;356637.3;6692075.0;EPSG:2154;47.24008726924601;-1.5414096717800474;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;044;52;17;44109;Loire-Atlantique;Pays de la Loire;Nantes;47.24008726924601, -1.5414096717800474;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1970-01-08
0440683D;Ecole élémentaire publique Gaston Serpette;ECOLE ELEMENTAIRE PUBLIQUE;GASTON SERPETTE;Public;46 rue du Douet Garnier;;;44000;NANTES;Nantes;353898.0;6690704.0;EPSG:2154;47.226342186815366;-1.576509838493324;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;044;52;17;44109;Loire-Atlantique;Pays de la Loire;Nantes;47.226342186815366, -1.576509838493324;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1970-01-08
0440694R;Ecole maternelle publique Joseph Blanchart;ECOLE MATERNELLE PUBLIQUE;JOSEPH BLANCHART;Public;94 rue Joseph Blanchart;;;44100;NANTES;Nantes;353700.7;6688427.8;EPSG:2154;47.20578175386947;-1.5773700897965257;Parfaite;Numéro de rue;101;ECOLE MATERNELLE;1;OUVERT;044;52;17;44109;Loire-Atlantique;Pays de la Loire;Nantes;47.20578175386947, -1.5773700897965257;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1970-01-08
0440700X;Ecole maternelle publique Le Chêne d'Aron;ECOLE MATERNELLE PUBLIQUE;CHENE D ARON;Public;4 rue du Chêne d'Aron;;;44000;NANTES;Nantes;355029.1;6689043.4;EPSG:2154;47.21200614370755;-1.560319853666957;Parfaite;Numéro de rue;101;ECOLE MATERNELLE;1;OUVERT;044;52;17;44109;Loire-Atlantique;Pays de la Loire;Nantes;47.21200614370755, -1.560319853666957;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1970-01-08
0440705C;Ecole maternelle publique Maurice Macé;ECOLE MATERNELLE PUBLIQUE;MAURICE MACE;Public;22 rue du Pontereau - Doulon;;;44300;NANTES;Nantes;359422.8;6691547.5;EPSG:2154;47.23678174343461;-1.5042505323975361;Parfaite;Numéro de rue;101;ECOLE MATERNELLE;1;OUVERT;044;52;17;44109;Loire-Atlantique;Pays de la Loire;Nantes;47.23678174343461, -1.5042505323975361;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1970-01-08
0440706D;Ecole maternelle publique Fellonneau;ECOLE MATERNELLE PUBLIQUE;FELLONNEAU;Public;15 rue Fellonneau;;;44000;NANTES;Nantes;355569.3;6691178.0;EPSG:2154;47.231471808228044;-1.5548204695636043;Parfaite;Numéro de rue;101;ECOLE MATERNELLE;1;OUVERT;044;52;17;44109;Loire-Atlantique;Pays de la Loire;Nantes;47.231471808228044, -1.5548204695636043;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1970-01-08
0440710H;Ecole maternelle publique Urbain le Verrier;ECOLE MATERNELLE PUBLIQUE;URBAIN LE VERRIER;Public;11 rue Urbain Le Verrier;;;44300;NANTES;Nantes;358195.9;6692181.0;EPSG:2154;47.24184471271331;-1.5209205022192074;Parfaite;Numéro de rue;101;ECOLE MATERNELLE;1;OUVERT;044;52;17;44109;Loire-Atlantique;Pays de la Loire;Nantes;47.24184471271331, -1.5209205022192074;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1970-01-08
0440715N;Ecole maternelle publique Les Marsauderies;ECOLE MATERNELLE PUBLIQUE;MARSAUDERIES (LES);Public;9 rue de la Bertinière;;;44300;NANTES;Nantes;357437.0;6692370.1;EPSG:2154;47.24315292085051;-1.5310795715839725;Parfaite;Numéro de rue;101;ECOLE MATERNELLE;1;OUVERT;044;52;17;44109;Loire-Atlantique;Pays de la Loire;Nantes;47.24315292085051, -1.5310795715839725;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1970-01-08
