Identifiant;Identifiant;Nom;Pôle;Commune;Adresse;Complément d’adresse;Marque;Type;Complément type;Automatique;Accessibilité PMR;Propriétaire;Exploitant;Nettoiement;Maintenance;Horaires d’ouverture;Motif;Jours de marché;Géométrie
72;SP_NM_07_001;Esplanade Alphonse Guihot;Loire Chézine;Indre;Esplanade Alphonse Guihot;;;Bâti;à la turque/urinoirs;non;oui;Nantes Métropole;Nantes Métropole - pôle;Nantes Métropole - pôle;Nantes Métropole - bâti;24/24;Tourisme;;"{""coordinates"": [-1.6470992624505774, 47.19324888126652], ""type"": ""Point""}"
78;SP_NM_13_006;Mairie Chantenay;Nantes Ouest;Nantes;Place de la Liberté;Mairie de Chantenay;SAGELEC;Mobilier;;non;non;Nantes Métropole;Nantes Métropole - pôle;Nantes Métropole - pôle;Nantes Métropole - bâti;journée;Centre ville;;"{""coordinates"": [-1.587926086798654, 47.206763554484844], ""type"": ""Point""}"
82;SP_NM_13_009;Canclaux;Nantes Ouest;Nantes;Place Canclaux;Rue Colonel Desgrées du Lou;SAGELEC;Mobilier;;non;non;Nantes Métropole;Nantes Métropole - pôle;Nantes Métropole - pôle;Nantes Métropole - bâti;journée;Parc / Espaces verts;;"{""coordinates"": [-1.5747704016972457, 47.21465952154615], ""type"": ""Point""}"
105;SP_NM_13_019;Emile Fritsch;Nantes Ouest;Nantes;Place Emile Fritsch;Rue Léon Say;SAGELEC;Mobilier;;oui;oui;Nantes Métropole;Nantes Métropole - pôle;Nantes Métropole - pôle;Nantes Métropole - bâti;journée;Parc / Espaces verts;;"{""coordinates"": [-1.566193500651199, 47.228829813615], ""type"": ""Point""}"
107;SP_NM_13_021;Louis Feuillade;Nantes Ouest;Nantes;Square Louis Feuillade;Rue Julien Duvivier;SAGELEC;Mobilier;;oui;oui;Nantes Métropole;Nantes Métropole - pôle;Nantes Métropole - pôle;Nantes Métropole - bâti;restreint;Présence pataugeoire;;"{""coordinates"": [-1.585927166555462, 47.230348808796755], ""type"": ""Point""}"
111;SP_NM_13_025;Américains;Nantes Ouest;Nantes;Boulevard des Américains;Place Alexandre Vincent;MPS;Mobilier;;oui;oui;Nantes Métropole;Nantes Métropole - pôle;Nantes Métropole - pôle;Nantes Métropole - pôle;journée;Présence d'un marché;mardi;"{""coordinates"": [-1.5767442382338008, 47.23279548766379], ""type"": ""Point""}"
117;SP_NM_13_026;La Haluchère;Erdre et Loire;Nantes;Station tram Haluchère - Batignolles;Rue du Ranzai;SAGELEC;Mobilier;WC siège;oui;oui;Nantes Métropole;Nantes Métropole - pôle;Nantes Métropole - pôle;Nantes Métropole  bâti;journée;Transport en commun;;"{""coordinates"": [-1.5223902058270757, 47.248659633985625], ""type"": ""Point""}"
121;SP_C_13_023;Amiral Halgan;Nantes Loire;Nantes;Square de l'Amiral Halgan;Place de l'Hôtel de Ville;;Bâti;WC siège;non;non;Commune;Commune;Commune;Commune;journée;Parc / Espaces verts;;"{""coordinates"": [-1.5544977319005875, 47.21722886749603], ""type"": ""Point""}"
134;SP_C_16_001;Mairie;Sud-Ouest;St-Aignan-Grandlieu;Place Millénia;entre la mairie et le stade;;Bâti;;non;non;Commune;Commune;Commune;Commune;restreint;Centre ville;;"{""coordinates"": [-1.6312741969142974, 47.12397545103022], ""type"": ""Point""}"
141;SP_NM_18_002;Cimetière parc métropolitain;Sud-Ouest;Saint-Jean-de-Boiseau;Pôle funéraire métropolitain des Landes de la Prunière;Rue du Landas;SANISPHERE;Bâti;siège;non;oui;Nantes Métropole;Nantes Métropole - pôle;Nantes Métropole - pôle;Nantes Métropole  bâti;journée;Parc / Espaces verts - Cimetière;;"{""coordinates"": [-1.726093674287302, 47.18575273295455], ""type"": ""Point""}"
7;SP_NM_10_001;Canal;Sud-Ouest;Le Pellerin;Route de la Chauffetière;Place Hélène Hubert-Chiché;MPS;Mobilier;siège;oui;oui;Nantes Métropole;Nantes Métropole - pôle;Nantes Métropole - pôle;Nantes Métropole - bâti;restreint;Tourisme;;"{""coordinates"": [-1.785390899475614, 47.206143673022865], ""type"": ""Point""}"
16;SP_NM_03_004;Leclerc;Sud-Ouest;Bouguenais;Place du Maréchal Leclerc;Les Couëts;;Bâti;siège/urinoirs;non;non;Nantes Métropole;Nantes Métropole - pôle;Nantes Métropole - pôle;Nantes Métropole - bâti;24/24;Présence d'un marché;jeudi;"{""coordinates"": [-1.5870802179731893, 47.18531057614111], ""type"": ""Point""}"
29;SP_C_15_010;Parc Chêne Gala;Loire Sèvre Vignoble;Rezé;Parc Chêne Gala;;;Mobilier;;;;Commune;Commune;Commune;Commune;24/24;;;"{""coordinates"": [-1.5375476981976037, 47.18771838842771], ""type"": ""Point""}"
32;SP_C_15_013;Stade Léo Lagrange;Loire Sèvre Vignoble;Rezé;Stade Léo Lagrange;Trocardière;;;;;;Commune;Commune;Commune;Commune;restreint;;;"{""coordinates"": [-1.57022296871927, 47.18179495543615], ""type"": ""Point""}"
34;SP_NM_20_002;Eglise;Loire Sèvre Vignoble;Saint-Sébastien-sur-Loire;Rue Jean Baptiste Robert;Rue du Général Duez;MPS;Mobilier;;oui;oui;Nantes Métropole;Nantes Métropole - pôle;Nantes Métropole - pôle;Nantes Métropole - pôle;journée;Centre ville;;"{""coordinates"": [-1.5045423563225528, 47.20871262988012], ""type"": ""Point""}"
40;SP_C_24_001;Pierre Percée;Loire Sèvre Vignoble;Vertou;Chemin du Champ de Courses;Rue de la Pierre Percée, espace vert près de la Sèvre;;;siège/urinoirs;;oui;Nantes Métropole;Commune;Commune;Commune;24/24;;;"{""coordinates"": [-1.4724064835119925, 47.15822161847784], ""type"": ""Point""}"
46;SP_NM_21_002;Marché;Erdre et Loire;Sainte-Luce-sur-Loire;Place du Marché;;MPS;Mobilier;WC siège;oui;oui;Nantes Métropole;Commune;Nantes Métropole - pôle;Nantes Métropole;journée;Présence d'un marché;samedi;"{""coordinates"": [-1.4838549964068661, 47.249879433690126], ""type"": ""Point""}"
56;SP_NM_05_001;Place de la Poste;Erdre et Loire;Carquefou;Place de la Poste;Passage des Marguilliers;;;;;;;;;;;;;"{""coordinates"": [-1.4917812020538181, 47.29677016194168], ""type"": ""Point""}"
66;SP_C_13_007;Vallée du Cens (Grotte);Erdre et Cens;Nantes;vallée du cens;Chemin des Marais (côté grotte);;;;;;Commune;Commune;Commune;Commune;;Parc / Espaces verts;;"{""coordinates"": [-1.569346606761445, 47.24340417796468], ""type"": ""Point""}"
68;SP_C_13_008;Vallée du Cens (camping);Erdre et Cens;Nantes;vallée du cens;Bd des tribunes  côté camping;;;WC siège;;;Commune;Commune;Commune;Commune;;Parc / Espaces verts;;"{""coordinates"": [-1.5670144583849492, 47.242438352386856], ""type"": ""Point""}"
76;SP_C_17_002;Branchoire;Loire Chézine;Saint-Herblain;Avenue de la Branchoire;Place du marché de la Crémetterie;;Bâti;à la turque;non;oui;Commune;Commune;Commune;Commune;restreint;Présence d'un marché;mercredi;"{""coordinates"": [-1.6080674941964797, 47.218397635905774], ""type"": ""Point""}"
92;SP_NM_13_035;Calvaire;Nantes Loire;Nantes;11 Rue du Calvaire;Place des Volontaires de la Défense Passive;DECAUX;Mobilier;;oui;oui;Decaux;Decaux;Decaux;Decaux;journée;Centre ville;;"{""coordinates"": [-1.5613245013750656, 47.215347195583874], ""type"": ""Point""}"
98;SP_C_13_014;Noë Mitrie;Nantes Loire;Nantes;Parc de la Noé Mitrie;Bd Ernest Dalby - Rue Dominique Chateigner;;Bâti;siège/urinoirs;non;;Commune;Commune;Commune;Commune;journée;Parc / Espaces verts;;"{""coordinates"": [-1.52710792798167, 47.22699391079579], ""type"": ""Point""}"
115;SP_C_13_021;La Gaudinière bas;Nantes Ouest;Nantes;Parc de La Gaudinière - bas;Rue de Diane;SAGELEC;Mobilier;WC siège;oui;oui;Commune;Commune;Commune;Commune;;Parc / Espaces verts;;"{""coordinates"": [-1.5786579516419312, 47.24211638781499], ""type"": ""Point""}"
125;SP_C_13_027;La Gaudinière haut;Nantes Ouest;Nantes;Parc de La Gaudinière - haut;Avenue de la Patouillerie;;Bâti;WC siège;non;non;Commune;Commune;Commune;Commune;journée;Parc / Espaces verts;;"{""coordinates"": [-1.5782526694667387, 47.246542810685234], ""type"": ""Point""}"
127;SP_C_13_029;Jean-Baptiste Barre;Nantes Loire;Nantes;square Jean Baptiste Barré;Rue Jean Baptiste Barré;;Bâti;WC siège;non;non;Commune;Commune;Commune;Commune;journée;Parc / Espaces verts;;"{""coordinates"": [-1.527752275291617, 47.222820483130754], ""type"": ""Point""}"
131;SP_NM_13_028;Pirmil;Loire Sèvre Vignoble;Nantes;à côté du 11 Rue Esnoult des Châtelets;Marché Pirmil;;Bâti;;non;non;Nantes Métropole;Nantes Métropole - pôle;Nantes Métropole - pôle;Nantes Métropole - pôle;;Présence d'un Marché;;"{""coordinates"": [-1.5411444615080747, 47.1964581188221], ""type"": ""Point""}"
3;SP_NM_19_001;Le Clémois;Sud-Ouest;Saint-Léger-les-Vignes;Rue du Petit Brandais;VM 751A;;Bâti;siège/urinoirs;non;non;Nantes Métropole;Nantes Métropole - pôle;Nantes Métropole - pôle;Nantes Métropole  bâti;restreint;;;"{""coordinates"": [-1.7223169813146284, 47.13759807962931], ""type"": ""Point""}"
5;SP_NM_09_002;Similien Guérin;Sud-Ouest;La Montagne;Place Similien Guérin;;SAGELEC;Mobilier;siège/urinoirs;oui;oui;Nantes Métropole;Nantes Métropole - pôle;Nantes Métropole - pôle;Nantes Métropole - bâti;restreint;Présence d'un marché;mercredi;"{""coordinates"": [-1.683379660037712, 47.18788124768033], ""type"": ""Point""}"
11;SP_C_04_002;Eglise;Sud-Ouest;Brains;Rue des Clos Mâts;Derrière léglise;;Bâti;;non;;Commune;Commune;Commune;Commune;;Présence d'un marché;vendredi soir;"{""coordinates"": [-1.7203894792365872, 47.168370464009826], ""type"": ""Point""}"
